year,label,month,membership,finance
1,2024,Jan,2123,-30564
1,2024,Feb,1965,-89402
1,2024,Mar,1639,-173219
1,2024,Apr,1851,-286631
1,2024,May,1888,526258
1,2024,Jun,1906,593327
1,2024,Jul,1918,-509930
1,2024,Aug,1966,-518055
1,2024,Sep,2061,-345623
1,2024,Oct,2108,-467845
1,2024,Nov,2415,-571095
1,2024,Dec,2087,-584593
2,2025,Jan,2174,842776
2,2025,Feb,2173,-50281
2,2025,Mar,2204,-54713
2,2025,Apr,1711,-110727
2,2025,May,1725,-167118
2,2025,Jun,1724,-230049
2,2025,Jul,1715,141943
2,2025,Aug,1758,-269089
2,2025,Sep,1970,-315990
2,2025,Oct,2065,-445450
2,2025,Nov,2116,-458281
2,2025,Dec,2116,-573025
